author,auto,chosen.values,rejected.values
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[22,83,24,75,28,28,92,36,9,25,46,68,83,34,17,39]","[4,11,69,43,20,47,97,1,89,75,71,23,46,86,49,6]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]","[22,83,24,75,28,28,92,36,9,25,46,68,83,34,17,39]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]","[10.90206381820013,82.05785191532088,-4.949756794250128,71.94196695630136,35.31962703919876,21.935019626207986,79.4774748203205,34.35278671684496,12.9083086808389,0.8036107305643725,71.1687603810596,68.99066210225574,95.90969702290722,25.11292139847324,20.797406169910133,34.31317790391849]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]","[45.0081684037322,67.91593651556097,-0.3603689367881906,55.22421799857354,17.66885979729569,24.681829829853456,88.24690285532463,41.363078672530065,7.008302339318687,23.396501219407472,51.03472272610557,85.78337072546026,92.01681272143587,31.25173592013713,6.594830709495426,29.74282929577665]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]","[35.10015484053197,61.30580163647341,1.040823057015949,53.480570715682404,40.66007210214538,22.57468506977547,66.73100311763046,55.392001619243004,-3.003123875858745,7.490107655599034,58.64475375950646,73.45758370791592,95.01237526160415,23.45847492044815,22.49618379068212,3.576868452877168]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]","[35.966602694092046,79.31648712206412,-20.70021452651116,56.35408039658589,25.695786142995765,25.591433083616433,90.95475523828411,56.89526133544486,-4.4400675875430435,12.165763857488427,78.85002602759316,78.51920821677743,74.48720881962271,21.64038965980845,4.686058490618592,10.74777110782679]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]","[10.634675456686178,62.45665387034412,0.9038223135059995,56.03738878164695,18.551171678517427,4.616556281737495,84.10903825899405,46.20081859603269,2.4895432313244443,-8.937931621463562,63.032154915417024,58.06955448954239,92.02357972757522,14.376430294105964,41.264048137389125,22.843180897416744]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]","[34.840257521625986,65.51370730804726,10.765274771159248,43.03780704301044,24.924764534409597,22.220513217608364,78.23756602662873,59.22850318283998,-23.693691038078462,2.500586215652076,64.01314852345978,87.25169588836476,95.77405118668781,-4.990305636363779,23.360457591105266,26.04217528419653]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[22.936237804839173,60.20801053286287,11.753364739054987,57.50618542017061,20.08954191225187,28.31150924816853,86.30690894726386,44.86664042736342,7.574436103605779,3.803529147804502,55.270505629472005,65.45807770330907,94.30737821876018,3.4270312374589267,19.20695387118771,22.826773678466097]","[24.009053123685696,71.98853185334468,1.6075858308389108,59.42917834066956,23.65872422230032,22.480513367887838,82.95403736706656,50.85538137085666,0.8738414557026744,5.5381882581520046,60.04360966815726,73.03214512663115,90.82038803648292,19.85705089990571,19.10972355124609,27.68904259064245]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[22.936237804839173,60.20801053286287,11.753364739054987,57.50618542017061,20.08954191225187,28.31150924816853,86.30690894726386,44.86664042736342,7.574436103605779,3.803529147804502,55.270505629472005,65.45807770330907,94.30737821876018,3.4270312374589267,19.20695387118771,22.826773678466097]","[33.91546480234352,50.16275162540683,25.669835123524784,62.56917722577645,11.914502771569918,26.141403839991618,77.79639099637514,45.00324899717701,19.914106706986047,22.582730204392895,61.983134267477396,69.87125240812122,92.46648556925874,15.348052823283833,17.183065954254058,16.81165284810424]"
