author,auto,chosen.values,rejected.values
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[82,12,48,34,88,41,30,51,100,12,45,44,89,86,91,30]","[64,23,90,91,58,6,10,41,53,29,8,15,99,95,95,23]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[93.10619610903164,25.34987871175445,50.2993217895269,53.849977968563856,86.01016801907097,39.78289219946771,38.37385039959905,55.229996053333444,79.75571227109481,11.444404188224388,60.045472140463126,48.33282709225026,79.04152915779936,86.1830260555547,82.24971426163539,27.45274461096385]","[82,12,48,34,88,41,30,51,100,12,45,44,89,86,91,30]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[93.10619610903164,25.34987871175445,50.2993217895269,53.849977968563856,86.01016801907097,39.78289219946771,38.37385039959905,55.229996053333444,79.75571227109481,11.444404188224388,60.045472140463126,48.33282709225026,79.04152915779936,86.1830260555547,82.24971426163539,27.45274461096385]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[88.22577576836693,38.53161518203023,56.1778889740552,52.97304295618301,99.2721100375268,46.86392617493185,18.014309215513194,58.77478568799894,87.54513917562335,43.09884467011802,61.46835841991061,42.56124856590132,71.37136895973536,104.10958879774937,55.9414397994815,17.325380444720068]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[101.91533517084352,20.227869882612428,49.3723999489815,65.4624888825555,111.62078854293253,41.431907145708635,34.771274007041285,25.20128740747507,80.71732508962445,6.8212105941552075,60.45147569702319,49.49648659740481,88.4089205756111,78.53662585449601,80.52506238957426,35.39120975676207]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[90.94287148383279,29.170495124082606,53.21767412243724,60.35677190259804,100.98088730437036,47.1048113590153,49.81988056454015,30.936241080595725,89.95120593036643,29.501824456960783,57.534530714380736,57.42688564412776,75.98098953606757,86.4459742808728,63.22733119822253,46.7929070378435]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[99.03208015211483,26.76015786223102,63.144187533215195,59.72757494645967,98.72323308148185,48.919838466422526,39.312785317093905,54.708215642108655,75.17725188804002,3.430133457280691,70.22459913745413,55.618396933064695,58.692248698569664,89.12086335205142,62.16515511568642,16.839793990196764]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[94.59393796181293,27.223831093871166,42.62851322028039,76.13134606676061,103.12886740418648,37.495164522370075,58.56993384095186,46.28370545204369,86.55115715298324,12.7855662445135,61.82630842241118,46.740032618330126,73.59046123352363,91.8242816203833,70.52925590254888,17.103595989596098]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[95.9701567786783,25.193257320638605,47.04606187382934,65.19512298852635,86.64655642101525,43.465431286729014,44.539911865752124,55.30356578893686,82.39976747410805,12.982956092968251,76.83660821899342,46.38463006910082,61.86474670543424,87.62416596047422,63.32741777045901,26.691369540751737]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[96.93332144086516,31.670029555028457,55.68606499275262,65.22430474915227,96.92490284938322,49.6266787114513,42.49831478982478,48.485165107764324,86.65711108295946,14.983412086321403,65.92723596806472,48.133679398402954,74.02244228572683,91.36094882452947,69.8206991352512,33.05978309396406]","[104.33292663032235,47.81692352418426,61.34766232528828,74.7166348292605,101.69576536135452,35.633993040912536,38.2000782456372,36.595645170828995,99.02064102814538,5.572809458890697,72.85825648209288,35.769330465551995,76.61116558518144,96.48773375417967,68.43373546285045,31.369993711188428]"
